Tag,qid_highest,Highest_Question_Rating,qid_lowest,Lowest_Question_Rating
cloud-platform,697076,2,653802,0
cloudfiles,829916,1,919068,0
clover,565317,2,565317,2
clr,911684,10,884564,-1
clr-hosting,787343,2,773476,0
clrdump,711032,1,711032,1
cls,774359,1,729456,0
cls-compliant,897249,3,938931,1
clsid,869783,2,897743,1
clsidfromprogid,599769,0,599769,0
clucene,741224,0,741224,0
cluetip,861990,0,861990,0
cluster,720143,2,565835,0
cluster-computing,770590,2,644230,0
clustered,780543,2,713416,0
clustered-index,897922,2,583001,0
clustering,691922,5,577625,0
cmake,566785,4,571292,0
cmath,758017,0,758017,0
cmd,817280,4,916715,-2
cmd-module,770134,0,770134,0
cmdlets,783402,1,852831,0
cmdûexe,722980,4,831726,0
cmm,670728,1,670728,1
cmmi,618990,1,618990,1
cms,600918,18,828803,-3
cmutex,696308,1,696308,1
cname,656009,2,604810,-1
cnf,580331,1,580331,1
coalesce,827454,8,835836,0
cobertura,596746,2,655979,1
cobol,719135,7,597960,0
cobol85,598115,4,694864,0
coca,689775,4,698957,0
cocoa,844658,27,837745,-9
cocoa-touch,601265,10,909150,-4
cococa,598917,2,598917,2
cococa-touch,813616,0,813616,0
cocoon,732890,0,732890,0
cocos2d,624659,1,620233,-1
cocos2d-iphone,846667,1,846667,1
cocotron,677861,0,677861,0
coda,869886,3,834187,0
coda-slider,658410,1,791775,0
code,960662,0,960662,0
code-access,821579,5,821579,5
code-access-security,797275,2,620688,0
code-analysis,804538,16,601746,0
code-as-data,826240,1,826240,1
code-behind,564353,3,897343,0
code-camp,585841,1,585841,1
code-challenge,891643,178,662988,0
code-cleanup,572134,3,572134,3
code-comments,750464,5,597601,-2
code-complete,825622,8,774848,0
code-completion,780837,8,887248,0
code-complexity,763464,9,592866,0
code-contracts,671809,8,587452,0
code-conversion,729303,1,729303,1
code-converter,866427,0,866427,0
code-coverage,695811,13,581578,0
code-duplication,643410,6,599412,0
code-editor,811905,3,790711,-2
code-elegance,728226,0,728226,0
code-enhancement,649594,0,649594,0
code-examples,758088,3,851691,2
code-first,642137,0,642137,0
code-folding,739009,0,739009,0
code-formatting,719853,6,569988,-7
code-freeze,564720,2,564720,2
code-generation,893913,14,573580,0
code-golf,928563,45,613390,-7
code-included,755643,0,755643,0
code-injection,942011,5,678024,0
code-inspection,837507,1,929472,0
code-kata,906309,2,906309,2
code-maintenance,708254,19,708254,19
code-metrics,760305,9,618694,0
code-migration,740625,6,610652,1
code-optimizations,869502,1,869502,1
code-organization,956996,13,621682,0
code-ownership,900803,6,908877,2
code-protection,764927,0,764927,0
code-quality,605977,6,678594,0
code-readability,578059,1,578059,1
code-resuse,891844,0,891844,0
code-reuse,755439,5,614835,0
code-review,602138,47,942404,-1
code-sample,666807,2,858718,0
code-samples,693242,4,693242,4
code-search,683783,0,683783,0
code-separation,583255,2,893879,1
code-signing,770711,2,724798,0
code-size,577330,0,577330,0
code-snippet,564160,21,742323,0
code-structure,783209,0,783209,0
code-style,795987,7,603805,0
code-swarm,758656,2,758656,2
code-tables,935635,0,935635,0
code-templates,885024,4,885024,4
code-view,908529,0,908529,0
code-visualization,758656,2,758656,2
codeanalysis,713411,0,713411,0
codebase,888319,2,573439,0
codebehind,563585,3,566902,0
codeblocks,671912,5,643710,0
codec,768999,2,960675,0
codecave,787100,9,787006,2
codecompletion,793209,0,793209,0
codecondition,912595,0,912595,0
codecs,577102,3,664407,-1
codedom,583516,2,733539,-1
codegear,952402,3,682892,0
codegen,832578,2,842123,1
codegeneration,855600,3,563815,0
codegolf,877295,1,877295,1
codehighlighter,740131,0,740131,0
codeigniter,717836,6,752132,-1
codepages,818759,2,668880,0
codeplex,801950,3,661383,0
coders-coma,782193,24,782193,24
coderush,922561,1,629427,0
codes,676080,1,676080,1
codesign,956680,0,956680,0
codesigning,688725,1,796059,0
codesmell,793647,15,802339,0
codesmith,583232,3,732747,0
codeswarm,747009,7,747009,7
codewarrior,803623,1,820229,0
coding,648672,3,602327,0
coding-by-convention,901851,3,901851,3
coding-horrors,748878,10,794940,0
coding-practice,657857,5,657857,5
coding-practices,605488,0,597428,-5
coding-standards,758279,31,682635,0
coding-style,758279,31,619278,-4
coding-tips,814648,10,814648,10
codinghabits,694246,15,694246,15
codinghorror,648686,0,648686,0
coercibility,845321,0,845321,0
coercion,716149,1,600512,0
coexistence,640255,0,640255,0
coff,714675,2,714675,2
coffee,661565,-2,661565,-2
cofounder,796819,1,796819,1
cofundos,666014,2,811653,1
cognos,659325,1,582989,0
cohesion,649909,3,581058,2
coin-flipping,880623,1,667850,0
col,848840,1,848840,1
col-tag,868009,0,868009,0
cold-start,624459,1,624459,1
coldfusion,760427,7,585133,0
coldspring,904831,0,904831,0
coledatetime,570224,0,570224,0
colgroups,848840,1,848840,1
collabnet,848976,1,877246,0
collaboration,868113,10,688104,-1
collaboration-tools,564817,0,564817,0
collaborative,618981,4,618981,4
collaborative-filtering,659599,2,924530,0
collapsable,747809,0,747809,0
collapsed,600890,2,734657,1
collapsiblepanelextender,744184,0,744184,0
collate,799840,0,799840,0
collation,611459,4,742205,0
collect,702123,3,614335,2
collection,675381,6,580160,0
collection-view,601864,0,601864,0
collections,621813,12,764030,-1
collective-intelligence,737247,3,741224,0
college,818436,28,744412,-1
collision,625542,0,643532,-4
collision-detection,580035,24,597764,0
colocation,654448,0,764992,-2
colon,667429,0,667429,0
color,649454,10,660634,0
color-picker,785157,0,785157,0
color-scheme,635022,4,603463,1
color-space,773226,3,773226,3
colorbox,797317,0,797317,0
colordialog,762009,2,762009,2
colormatrix,580244,1,580244,1
colorpalette,579301,1,579301,1
colors,563500,6,565252,0
colspan,947815,0,947815,0
column,894522,12,596841,0
column-width,807528,1,721455,-4
columnheader,880585,0,880585,0
columns,574317,5,702055,-1
columnspan,724187,0,724187,0
com,616658,6,654108,-2
com+,698998,7,594288,-1
com-interface,569698,4,569698,4
com-interop,742851,4,582663,0
com-object,820866,2,820866,2
combination,847456,1,816977,0
combinations,601134,4,872471,0
combinatorics,680011,3,717334,1
combinators,882524,2,951220,1
combine,638360,4,679245,0
combo,873832,-1,873832,-1
combo-box,856464,0,856464,0
combobox,729897,4,568001,0
comboboxes,890348,0,890348,0
comctl32,850581,0,850581,0
comdlg32,827612,0,827612,0
comergent,943120,0,943120,0
comet,732705,10,571507,0
cometd,832154,1,832154,1
comexception,839167,0,839167,0
comma,703896,1,665057,0
comma-operator,594135,6,594135,6
comma-separated,687866,1,887628,0
command,571368,3,867018,-3
command-line,714633,9,607670,-2
command-line-arguments,916345,2,916345,2
command-line-compiler,929592,1,929592,1
command-not-found-handle,621821,1,621821,1
command-pattern,889429,1,889429,1
command-prompt,563530,1,924935,-4
commandbinding,662525,0,662525,0
commandline,631410,3,775526,0
commands,911904,1,564545,0
commandsink,771385,2,771385,2
comment,846889,3,699131,0
comment-conventions,960284,0,960284,0
commenting,757199,3,920712,2
comments,718783,17,587709,-5
commerce,901131,1,571735,0
commerceserver2007,570736,0,570736,0
commercial,687003,12,609921,0
commercialization,644516,3,644516,3
commit,608316,4,638834,0
commodore,600968,0,600968,0
common,658351,3,858034,0
common-database,832956,2,832956,2
common-denominator,703897,0,703897,0
common-dialog,780152,0,780152,0
common-files,626796,4,626796,4
common-language-infrastr,610026,3,610026,3
common-lisp,578290,9,647661,0
common-sense,600295,4,600295,4
common-service-locator,735712,0,735712,0
common-table-expression,844261,1,902608,0
commons-httpclient,790004,1,619614,0
commons-lang,592276,0,592276,0
commons-pool,939734,1,939734,1
commontableexpression,634971,2,634971,2
communication,725781,7,678337,-3
communication-protocol,567073,3,567073,3
communicator,893973,0,893973,0
communities,726415,0,726415,0
community,827104,15,941260,-1
community-effort,886688,6,886688,6
community-server,663366,1,602015,0
community-wiki,758670,0,758670,0
comp-3,795523,1,796818,0
compact,792683,2,654105,0
compact-framework,744683,6,657740,-1
compactflash,602549,1,602549,1
compactframework,938030,0,938030,0
companionjs,666575,2,666575,2
company,666090,5,615930,0
comparable,803543,2,631136,0
comparator,912436,4,792461,0
compare,931827,4,574923,0
compareto,627130,1,900745,0
comparevalidator,957002,0,957002,0
comparing,843801,1,843801,1
comparison,579981,12,710719,-3
compass,817272,2,726953,0
compatibility,832007,6,844476,-1
compatibledc,881270,2,881270,2
compensation,958559,2,958559,2
competition,709892,0,709892,0
compilation,671933,9,568268,0
compilation-errors,625685,2,654003,-2
compile,666453,6,733268,0
compile-error,578469,1,651873,-5
compile-time,795208,4,953511,0
compile-time-weaving,901632,0,901632,0
compiled-language,717490,4,717490,4
compiled-linq-queries,704188,0,704188,0
compiler,711586,25,781907,-1
compiler-design,903715,-2,903715,-2
compiler-development,618859,3,827993,0
compiler-directives,864920,1,864920,1
compiler-error,883999,2,708460,0
compiler-errors,765709,7,606707,0
compiler-flags,852437,1,796162,0
compiler-optimizations,867692,8,865871,-3
compiler-options,607159,3,607159,3
compiler-theory,898489,4,736903,2
compiler-warnings,765709,7,768401,0
compilers,794015,9,903715,-2
compiling,616779,5,610060,0
complement,791328,4,794062,2
complete,603941,1,921186,-1
completion,704282,2,656741,0
complex,744596,2,756036,0
complex-event-processing,912059,1,912059,1
complex-numbers,576775,8,576775,8
complexcontent,883477,0,883477,0
complexity,802965,7,607157,-7
component,682451,4,570681,0
component-services,616464,0,616464,0
componentart,896553,2,896553,2
componentclass,857691,0,857691,0
componentmodel,626803,1,927964,0
components,662956,116,583894,0
componet,763232,4,763232,4
comports,733014,1,613166,0
compose,826873,0,826873,0
composite,570302,10,682530,0
composite-application-gu,625994,0,625994,0
composite-controls,612255,1,583164,0
composite-id,674104,0,674104,0
composite-index,910959,1,910959,1
composite-indexes,933783,3,933783,3
composite-key,880981,2,916212,1
compositecontrol,759681,0,759681,0
compositeusertype,856421,3,856421,3
compositewpf,839118,1,837387,0
compositing,660542,2,914834,1
composition,760473,5,790160,0
compress,812501,3,743539,0
compression,891643,178,587442,-1
compressor,675921,0,675921,0
computation-theory,753784,1,753784,1
computational-geometry,694108,5,710446,0
compute,778047,5,567743,0
computed,671941,3,846588,1
computed-columns,637610,1,916068,0
computed-style,676659,0,676659,0
computer,803787,4,805653,-4
computer-architecture,883579,1,883579,1
computer-freeze,637617,1,637617,1
computer-graphics,814588,3,814588,3
computer-science,876073,28,679758,-2
computer-security,608525,0,608525,0
computer-vision,824679,5,848419,0
computeralgebrasystem,947445,0,947445,0
computing,686958,2,571439,0
comtypes,685589,3,685589,3
comvisible,853553,0,853553,0
concat,929392,1,721435,0
concatenate,798269,4,751420,0
concatenation,757153,5,671360,0
concatenative-language,907263,4,907263,4
concave,693916,2,693916,2
concentration,634819,3,586769,-1
concepts,813190,21,590254,-4
conceptual,952558,10,593058,1
conciseness,788550,4,788550,4
concordion,658297,0,658297,0
concrete,871476,1,871476,1
concrete5,928673,0,928673,0
concurrency,571766,14,651875,-2
concurrent,776658,4,792638,-1
concurrenthashmap,698638,2,698638,2
cond-wait,943245,1,943245,1
condition,631174,2,630035,0
condition-check,837226,1,837226,1
condition-evaluation,752373,6,752373,6
condition-variable,773212,3,773212,3
conditional,641469,7,592432,-1
conditional-comments,814249,4,795267,0
conditional-compilation,747289,3,637900,0
conditional-formatting,639999,1,684490,0
conditional-operator,798545,7,725973,1
conditional-processing,758465,1,758465,1
conditional-wait,671199,0,671199,0
conditionals,869832,2,893855,0
conditions,683126,4,788582,0
conference,885589,0,885589,0
conferences,727000,2,565959,0
conferencing,653633,2,653633,2
confidential-information,796200,2,895009,1
config,648246,35,629143,0
config-file,765680,1,765680,1
config-spec,680162,1,680162,1
configparser,564662,0,564662,0
configsection,758986,2,758986,2
configsections,758986,2,758986,2
configurable,915689,2,915689,2
configuration,648246,35,792615,-2
configuration-files,648246,35,705054,0
configuration-management,661389,7,636275,0
configurationelement,568125,0,568125,0
configurationmanager,698157,4,831281,0
configurations,733850,4,733850,4
configurationsection,568125,0,568125,0
configurationûphp,723588,0,723588,0
configure,598119,1,771341,0
configûpm,772710,0,772710,0
confirm,823790,1,588179,0
confirmation,876139,3,843585,1
conflict,678254,10,685930,0
conflicts,826715,3,825115,0
confluence,834399,0,834399,0
confused,692005,1,692005,1
confusion,838371,0,838371,0
congestion-control,803957,2,803957,2
conjunctive-normal-form,915162,1,876825,0
conkeror,765051,0,765051,0
conky,715188,0,715188,0
connect,574533,3,599334,0
connected,647390,4,647390,4
connection,605425,3,830707,-1
connection-leaks,878819,1,878819,1
connection-pooling,911786,4,830707,-1
connection-string,619276,5,583921,0
connectionpool,777372,0,777372,0
connections,926402,2,711048,0
connectionstring,602910,1,757708,0
connectionstrings,691751,2,567628,0
connectivity,591222,3,614336,0
connector,710859,4,710859,4
cons,790971,1,790971,1
conservative,767821,5,767821,5
considered-harmful,838721,15,838721,15
consistency,639668,6,639668,6
consistency-model,843493,3,843493,3
console,888533,8,794298,-2
console-and-window,631249,1,631249,1
console-application,696117,9,600051,0
console-color,626807,0,626807,0
consolidation,743451,1,743451,1
const,675556,8,583076,0
const-cast,759315,3,759315,3
const-correctness,686470,5,743458,1
const-iterator,755347,8,765148,1
constant,699781,4,753121,0
constantcontact,678169,0,678169,0
constants,745591,13,625515,0
constraint,631979,3,592864,0
constraint-satisfaction,956699,6,956699,6
constraints,622264,10,749025,-1
constrols,694795,0,694795,0
construction,956112,3,956112,3
constructor,607186,14,704763,-2
constructor-chaining,872335,3,872335,3
constructor-overloading,751575,5,751575,5
constructors,881966,3,686601,0
consultant,830498,1,830498,1
consulting,706963,5,658312,1
consumption,742892,2,568445,1
contact,575366,0,575366,0
contacts,663830,2,599571,0
container,847809,11,606004,0
container-managed,596964,0,596964,0
containers,736307,9,570604,0
contains,665713,1,592147,0
containsable,568644,0,568644,0
containskey,855576,2,855576,2
content,602894,3,859094,-2
content-addressable,657422,3,657422,3
content-assist,566037,1,566037,1
content-based-routing,608556,1,608556,1
content-disposition,609530,2,773385,0
content-editor,940158,1,940158,1
content-encoding,694918,2,874262,1
content-headers,922318,0,922318,0
content-management,639316,2,617673,0
content-management-system,682977,1,703391,0
content-negotiation,665073,0,665073,0
content-provider,657154,0,657154,0
content-type,885992,3,601141,0
content-validation,903297,1,903297,1
contenteditable,713919,0,713919,0
contentencoding,876619,1,876619,1
contentplaceholder,722588,1,704132,-1
contentpresenter,657997,1,657997,1
contentproperty,828579,6,828579,6
contentprovider,662344,0,662344,0
contenttype,591225,1,876561,0
context,650860,5,639799,-2
context-free-grammar,803515,5,707443,0
context-param,810171,1,810171,1
context-sensitive-grammar,612654,1,612654,1
contextmanager,877709,2,877709,2
contextmenu,654568,5,649215,0
contextmenustrip,866689,1,663224,0
contiguous,682506,2,682506,2
contingency,896785,1,896785,1
continuations,612761,9,701142,0
continue,685953,1,621266,0
continuous,864061,2,652265,0
continuous-integration,616149,15,666967,-1
continuous-unit-testing,912064,5,912064,5
continuum,631837,0,631837,0
contour,763128,4,640407,0
contract,624230,7,654737,0
contract-first,763827,1,642137,0
contract-last,763827,1,763827,1
contract-violation,835321,3,835321,3
contract-work,851936,5,851936,5
contracting,733809,21,712110,1
contractor,630262,3,940441,1
contracts,613396,29,944960,0
contrapositive,873927,0,873927,0
contrast,932781,0,932781,0
contravariance,802987,7,707041,0
contribute,598466,4,725921,-1
contrived-example,701466,2,701466,2
control,714666,7,622588,-4
control-adapter,760871,0,760871,0
control-c,762458,0,762458,0
control-characters,799047,0,799047,0
control-rendering,668328,2,668328,2
control-templates,844388,2,844388,2
control-tree,780708,0,780708,0
controller,768236,4,837745,-9
controller-design,931521,4,931521,4
controller-spec,590100,1,590100,1
controllercontext,599759,1,587179,0
controllers,879852,4,813813,0
controlpanel,773063,0,773063,0
controls,641464,5,565514,0
controltemplate,611298,2,633747,0
controltemplates,565243,2,587892,0
convenience,958712,2,958712,2
convention,654308,1,734496,0
convention-over-configur,662650,1,785983,0
conventions,602096,11,727528,0
conversion,823207,9,749273,-4
conversions,761955,0,761955,0
convert,770342,6,569709,0
converter,579524,2,613721,0
converters,874635,2,920815,0
converting,600967,1,667239,0
convertion,949772,1,737258,0
convertions,788762,1,788762,1
convex,753140,1,753140,1
convex-hulls,828905,1,828905,1
convolution,925469,3,959524,0
cooca-touch,777321,0,777321,0
cookie,613967,6,856047,-1
cookie-security,689508,2,689508,2
cookie2,577191,0,577191,0
cookiecontainer,635330,0,635330,0
cookieless,750997,0,750997,0
cookies,701030,14,741552,-10
cool,611377,11,934398,6
cooliris,725489,1,725489,1
cooperation,841009,2,841009,2
coordinate-systems,808963,3,863095,0
coordinates,808963,3,584290,0
cop,591402,2,591402,2
copilot,879028,0,879028,0
copy,801004,5,704763,-2
copy-constructor,919701,10,781760,0
copy-item,677789,1,677789,1
copy-local,602765,0,602765,0
copy-mode,890456,0,890456,0
copy-on-write,628938,3,707014,2
copy-paste,619194,5,611321,0
copy-protection,912850,5,789310,0
copybook,769673,2,769673,2
copying,701730,1,679031,0
copyright,899699,33,889798,-5
coq,752973,1,752973,1
corba,960836,0,960836,0
core,842359,4,601361,-5
core-animation,593147,4,726382,-1
core-audio,907137,3,641650,0
core-data,881936,4,935603,-1
core-foundation,675816,3,695427,0
core-graphics,603907,3,630825,0
core-image,810365,1,742109,0
core-location,613815,0,613815,0
coreanimation,774778,0,774778,0
coredata,956896,1,956896,1
coredump,680627,2,775872,0
coregraphics,900053,2,740796,0
coreldraw,564725,0,564725,0
corelocation,582511,2,834831,-1
cores,610872,0,610872,0
corflags,937206,3,937206,3
corner,609109,0,609109,0
corners,892759,2,771224,0
cornification,708400,0,708400,0
coroutine,685046,8,734638,0
corporate,844307,21,874242,2
correctness,700416,1,884429,0
correlated,839938,1,729449,0
correspondent,708800,1,708800,1
corrupt,591457,1,695734,-3
corruption,795496,3,718503,0
cortex-m3,565981,2,565981,2
cost,667634,10,764992,-2
cost-based-optimizer,586781,2,586781,2
cost-benefit,869645,2,869645,2
cosûjar,595744,0,595744,0
cots,666719,23,650750,3
couchdb,644695,4,584165,0
count,573751,5,944213,-1
countdownlatch,688763,0,688763,0
counter,746353,2,762647,-3
counter-cache,903294,2,903294,2
counters,958164,1,958164,1
countif,582637,3,582637,3
counting,589144,3,633881,0
countries,798455,2,750446,0
country,621350,2,621350,2
coupling,649909,3,794038,0
course,943539,6,943539,6
courses,900589,0,900589,0
cout,856200,3,659266,0
covariance,802987,7,679500,0
coverage,931248,0,931248,0
coverflow,718984,0,718984,0
coverstory,786712,0,786712,0
cp,710933,1,591498,0
cpan,678393,13,678998,0
cpanel,670628,2,708584,0
cperl-mode,593073,1,593073,1
cpp,576572,1,704614,0
cpptasks,761256,3,761256,3
cppunit,865689,3,946737,0
cproj,909160,0,909160,0
cpu,699519,15,802298,-2
cpu-architecture,599238,11,764429,-3
cpu-cores,654643,1,654643,1
cpu-registers,947211,7,646512,0
cpu-speed,646512,0,646512,0
cpu-usage,593760,7,657688,0
cpython,590007,8,572780,2
cqwp,709940,1,709940,1
cracking,694330,5,694330,5
crash,850617,7,594505,0
crash-dumps,798239,4,582821,0
crash-reports,755847,1,671018,0
crashes,851298,2,851298,2
crashing,952348,2,952348,2
crashreport,875160,1,875160,1
crawl,789241,0,789241,0
crawler,855873,2,788913,-2
crawling,907527,0,907527,0
crazy-code,918587,1,918587,1
crc,577787,1,847450,-1
crc32,945641,2,945641,2
create,726146,5,603074,0
create-function,825434,0,825434,0
create-table,692363,0,692363,0
createfile,885742,0,885742,0
createinstance,626373,1,688026,0
createobject,825049,1,825049,1
createprocess,948417,4,749881,0
createprocessasuser,725113,3,668389,1
createtextnode,792345,1,824000,0
createthread,567278,3,567278,3
createuserwizard,567932,0,567932,0
creating,839243,2,791810,-3
creation,806911,13,742035,0
creative,670443,2,670443,2
creative-commons,694966,21,688238,0
creativity,656802,12,746036,-4
credentials,879430,2,643723,0
credit,841727,-3,841727,-3
credit-card,633384,6,651873,-5
credit-cards,688528,2,688528,2
credssp,948660,0,948660,0
criteria,673508,3,654882,0
critical-section,853316,5,751361,0
critical-system,732244,1,732244,1
criticalsection,877577,0,877577,0
criticism,922001,4,922001,4
critique,857979,1,857979,1
crlf,841396,1,667771,0
crm,790577,2,603015,0
cron,656553,5,917251,-1
cronjob,655149,2,850556,0
crontab,704927,1,826882,0
crop,709388,4,622783,0
cross,872800,0,872800,0
cross-browser,565641,18,946541,-1
cross-compile,779964,7,595049,0
cross-compiler,853307,1,853307,1
cross-compiling,693952,5,777055,0
cross-concern,943548,0,943548,0
cross-database,816489,0,816489,0
cross-domain,926137,6,625959,0
cross-join,761545,2,761545,2
cross-language,579272,6,789376,0
cross-platform,666058,11,704920,-3
cross-server,810349,0,810349,0
cross-site-scripting,957884,2,684610,-2
cross-tabulation,853710,0,853710,0
cross-threading,812870,2,581405,0
crosscheck,907364,1,907364,1
crosscompile,734070,1,734070,1
crossdomainûxml,587981,3,772579,0
crossplatform,594903,4,594903,4
crosstab,937797,2,663063,0
crossthread,694397,2,694397,2
crossword,943113,6,955033,0
crowd,898924,2,898924,2
crowdsourcing,785246,1,785246,1
crt,564576,4,676473,0
crtp,652155,6,891243,0
crud,638868,8,573065,0
cruft,940441,1,940441,1
cruise,749632,1,749632,1
cruisecontrol,647621,8,601343,0
cruisecontrolûnet,616149,15,620295,0
cruisecontrolûrb,639012,1,783227,0
cruntime,949017,0,949017,0
crypt,573307,1,573307,1
cryptanalysis,810533,3,816882,1
cryptarithm,750984,4,750984,4
crypto,816595,2,595114,0
crypto++,919733,1,827634,0
cryptographicexception,744530,2,744530,2
cryptography,674904,18,587357,0
cryptrijndael,569871,1,569871,1
crystal,724323,4,600304,-1
crystal-reports,935751,0,935751,0
crystalreports,586239,5,919608,-1
crystalreportsserver,613776,0,613776,0
crystalreportsxi,594229,1,773536,0
cs,861022,3,948733,0
cs-script,662086,0,662086,0
cs3,587252,3,702429,-2
csc,898802,2,689189,0
cscope,934233,4,934233,4
cscript,596878,0,596878,0
csh,776071,4,775953,0
csharp,959501,2,959501,2
csla,789537,2,687785,0
csproj,727898,3,698055,0
csr,589834,0,589834,0
csrf,905118,1,841957,-2
css,636712,36,818069,-5
css-background-image,609168,2,609168,2
css-framework,846538,0,846538,0
css-frameworks,589184,5,945445,1
css-grid-system,721041,3,721041,3
css-hack,615448,3,615448,3
css-inheritance,834069,0,834069,0
css-layout,899252,16,738503,-3
css-menu,569082,0,569082,0
css-positioning,591870,5,572865,0
css-reset,805713,2,923806,0
css-selectors,602168,7,591743,-1
css-sprites,683221,7,705015,0
css2,742163,0,742163,0
css3,933645,4,587814,0
cssadapter,746663,0,746663,0
cssclass,584947,0,584947,0
cstring,651544,1,624148,0
csv,568968,4,942322,-3
ctags,563616,20,745560,0
cte,566061,5,584904,0
ctest,733475,2,733475,2
ctime,722617,0,722617,0
ctp,614731,0,614731,0
ctp5,730082,0,730082,0
ctrl,682746,1,762271,0
ctrl-c,914613,6,813086,0
ctrln,632062,0,632062,0
ctypes,714367,2,872566,-2
cube,743085,2,853263,0
cubes,736731,2,662249,0
cucumber,717212,5,647392,0
cuda,635409,1,624788,0
cufon,692990,7,692990,7
culture,899699,33,665910,-1
cultureinfo,717447,6,614164,0
cumulative,657440,2,657440,2
cups,639617,0,639617,0
curiosity,665494,10,950496,0
curl,720867,4,798785,-2
curly-braces,647195,4,690711,1
currency,611732,15,612463,0
current,661161,0,661161,0
currentculture,925145,0,925145,0
currentuiculture,925145,0,925145,0
curriculum,670353,10,670353,10
currying,907306,6,694162,1
curses,897687,1,795260,0
curses-window,795260,0,795260,0
cursor,647236,5,627587,0
cursor-position,850956,0,850956,0
cursors,743183,3,627706,0
curve,573522,2,765048,0
curve-fitting,878200,3,717762,0
cusp,661473,0,661473,0
custion-action,617409,1,617409,1
custom,831888,5,581383,0
custom-action,702145,1,591367,0
custom-action-filter,872796,1,835672,0
custom-attributes,607178,6,590012,0
custom-backend,619620,1,619620,1
custom-build,894806,1,894806,1
custom-build-step,889167,3,889167,3
custom-cell,928014,1,928014,1
custom-code,709931,0,709931,0
custom-config,739890,1,739890,1
custom-conrols,707792,0,707792,0
custom-control,658410,1,771617,0
custom-controls,587395,3,580192,0
custom-error-pages,936523,3,815692,0
custom-eventlog,871442,3,804284,1
custom-field-type,608031,1,682926,0
custom-fields,961232,0,961232,0
custom-lists,661913,2,611598,0
custom-method,800983,1,800983,1
custom-protocol,644834,3,644834,3
custom-server-controls,570294,2,565514,0
custom-tag,648674,3,674212,0
custom-validators,792858,0,792858,0
customclasses,681454,0,681454,0
customcomponents,587979,2,649183,0
customcontrol,661620,1,832352,0
customer,628840,2,805844,0
customer-relationship,673785,18,700624,0
customerrors,775162,1,781861,0
customised,649991,2,649991,2
customization,844313,4,630284,0
customize,852142,0,852142,0
customized,747721,0,747721,0
custompaging,579503,1,636453,0
customtags,731599,4,731599,4
customtypedescriptor,749542,3,749542,3
customvalidator,811734,1,923267,0
cut,891702,0,891702,0
cutlists,742287,1,742287,1
cv,741858,4,676898,0
cvi,711727,1,711727,1
cvs,782375,6,566093,0
cvs2svn,632729,0,632729,0
cvsps,702980,1,702980,1
cwd,922221,1,922221,1
cwindowimpl,575532,0,575532,0
cx-oracle,868888,2,956085,0
cxf,578970,4,641870,0
cycle,872446,5,862578,0
cycle-optimization,821416,1,821416,1
cyclic,941254,0,941254,0
cyclic-redundancy-check,795971,0,795971,0
cyclic-reference,744373,8,941153,2
cyclical,634500,2,634500,2
cyclomatic-complexity,911637,10,745043,0
cygwin,771756,13,601516,-2
cyrus,682431,0,682431,0
cython,943809,2,725777,1
d,743319,14,909610,-1
d-programming-language,909610,-1,909610,-1
daab,592151,0,592151,0
daap,675782,1,675782,1
daemon,656933,9,660366,0
daemons,606704,1,844619,0
dag,701439,9,681760,0
dailybuilds,783806,2,888622,0
dal,580383,6,615746,0
dalvik,763972,3,935103,0
dancer,597428,-5,597428,-5
dangling,686934,1,686934,1
dango,662521,0,662521,0
dao,921281,3,613065,0
darcs,793091,2,825115,0
darwin,587254,1,865075,0
dashboard,908520,6,621289,0
data,591892,19,760874,-1
data-access,607620,4,576964,0
data-access-layer,573671,3,621155,0
data-acquisition,585418,0,585418,0
data-analysis,951056,18,924355,0
data-binding,623607,4,606343,0
data-bound-controls,576437,1,606343,0
data-center,566262,0,566262,0
data-collection,916745,0,916745,0
data-compression,605480,3,673691,0
data-consistency,709449,4,709449,4
data-contracts,771560,3,771560,3
data-conversion,698880,0,698880,0
data-dictionary,859259,1,859259,1
data-driven,664460,2,937877,1
data-driven-tests,705114,2,601973,0
data-dynamics,605507,1,605507,1
data-entry,699026,2,743554,0
data-flow-diagrams,703948,0,703948,0
data-flows,704744,0,704744,0
data-formats,874417,4,818679,2
data-grid,607102,1,607102,1
data-importer,673802,1,642521,0
data-integrity,652929,2,735445,0
data-layers,582688,3,582688,3
data-loading,883919,1,883919,1
data-mapping,616012,2,694552,0
data-migration,761417,5,616639,0
data-mining,659433,3,747115,-2
data-model,955003,0,955003,0
data-modeling,635366,4,645156,0
data-ownership,693725,3,693725,3
data-processing,829407,5,799107,0
data-protection,676610,2,816958,0
data-provider,680733,1,680733,1
data-quality,865329,1,865329,1
data-recovery,773059,2,648437,-2
data-retention,773607,0,773607,0
data-storage,846201,4,817749,0
data-structures,654771,15,840529,-5
data-submission,674201,0,674201,0
data-table-extensions,584299,0,584299,0
data-transfer,699529,3,566262,0
data-transfer-objects,821276,16,750757,3
data-type,881894,8,808756,0
data-type-conversion,797180,0,797180,0
data-types,881894,8,583157,0
data-url,641461,1,641461,1
data-version-control,606031,1,606031,1
data-visualization,606538,3,603430,0
data-warehouse,665614,7,629445,0
dataaccess,697554,6,678121,0
dataaccesslayer,644941,7,827401,0
dataadapter,711129,0,711129,0
dataannotations,952723,1,822328,0
database,621884,63,728544,-6
